date, categorie, data
18-12-2018 20:54:13, RssToDb, Nombres de nouveux articles:13 
18-12-2018 20:54:14, Medpol, Rudi Vervoort | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Joëlle Maison |  
18-12-2018 20:54:14, time, 11.87 
18-12-2018 20:55:02, Nombre d'articles par media, dh:37336 
18-12-2018 20:55:02, Nombre d'articles par media, lalibre:52029 
18-12-2018 20:55:02, Nombre d'articles par media, lecho:5785 
18-12-2018 20:55:02, Nombre d'articles par media, lesoir:21181 
18-12-2018 20:55:02, Nombre d'articles par media, levif:7717 
18-12-2018 20:55:02, Nombre d'articles par media, rtbf:15787 
18-12-2018 20:55:02, Nombre d'articles par media, rtl:34708 
18-12-2018 20:55:02, Nombre d'articles par media, sudinfo:8405 
18-12-2018 20:55:02, Nombre d'articles total, 182948 

18-12-2018 21:08:13, RssToDb, Nombres de nouveux articles:26 
18-12-2018 21:08:16, Medpol, David Clarinval | David Clarinval | Elio Di Rupo | Elio Di Rupo | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Bart De Wever |  
18-12-2018 21:08:16, time, 11.50 
18-12-2018 21:09:04, Nombre d'articles par media, dh:37337 
18-12-2018 21:09:04, Nombre d'articles par media, lalibre:52035 
18-12-2018 21:09:04, Nombre d'articles par media, lecho:5785 
18-12-2018 21:09:04, Nombre d'articles par media, lesoir:21184 
18-12-2018 21:09:05, Nombre d'articles par media, levif:7717 
18-12-2018 21:09:05, Nombre d'articles par media, rtbf:15787 
18-12-2018 21:09:05, Nombre d'articles par media, rtl:34723 
18-12-2018 21:09:05, Nombre d'articles par media, sudinfo:8406 
18-12-2018 21:09:05, Nombre d'articles total, 182974 

18-12-2018 23:10:34, RssToDb, Nombres de nouveux articles:115 
18-12-2018 23:10:43, Medpol, Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Theo Francken | Theo Francken | Theo Francken | Theo Francken | Theo Francken | Barbara Pas | Barbara Pas | Barbara Pas | Barbara Pas |  
18-12-2018 23:10:43, time, 13.30 
18-12-2018 23:11:37, Nombre d'articles par media, dh:37343 
18-12-2018 23:11:37, Nombre d'articles par media, lalibre:52075 
18-12-2018 23:11:37, Nombre d'articles par media, lecho:5788 
18-12-2018 23:11:37, Nombre d'articles par media, lesoir:21196 
18-12-2018 23:11:37, Nombre d'articles par media, levif:7719 
18-12-2018 23:11:37, Nombre d'articles par media, rtbf:15790 
18-12-2018 23:11:37, Nombre d'articles par media, rtl:34766 
18-12-2018 23:11:37, Nombre d'articles par media, sudinfo:8412 
18-12-2018 23:11:37, Nombre d'articles total, 183089 
19-12-2018 01:12:48, RssToDb, Nombres de nouveux articles:17 
19-12-2018 01:12:51, Medpol, Saïd Tahri | Saïd Tahri | Saïd Tahri | Charles Spapens | Charles Spapens | Charles Spapens | Stéphane Roberti | Stéphane Roberti | Stéphane Roberti | Françoise Père | Françoise Père | Françoise Père | Ahmed Ouartassi | Ahmed Ouartassi | Ahmed Ouartassi | Mariam El Hamidine | Mariam El Hamidine | Mariam El Hamidine |  
19-12-2018 01:12:51, time, 12.88 
19-12-2018 01:13:50, Nombre d'articles par media, dh:37343 
19-12-2018 01:13:50, Nombre d'articles par media, lalibre:52078 
19-12-2018 01:13:50, Nombre d'articles par media, lecho:5788 
19-12-2018 01:13:50, Nombre d'articles par media, lesoir:21199 
19-12-2018 01:13:50, Nombre d'articles par media, levif:7719 
19-12-2018 01:13:50, Nombre d'articles par media, rtbf:15791 
19-12-2018 01:13:50, Nombre d'articles par media, rtl:34776 
19-12-2018 01:13:50, Nombre d'articles par media, sudinfo:8412 
19-12-2018 01:13:50, Nombre d'articles total, 183106 
19-12-2018 03:15:09, RssToDb, Nombres de nouveux articles:7 
19-12-2018 03:15:10, Medpol, none 
19-12-2018 03:15:10, time, 12.99 
19-12-2018 03:15:59, Nombre d'articles par media, dh:37343 
19-12-2018 03:15:59, Nombre d'articles par media, lalibre:52081 
19-12-2018 03:15:59, Nombre d'articles par media, lecho:5788 
19-12-2018 03:15:59, Nombre d'articles par media, lesoir:21199 
19-12-2018 03:15:59, Nombre d'articles par media, levif:7719 
19-12-2018 03:15:59, Nombre d'articles par media, rtbf:15791 
19-12-2018 03:15:59, Nombre d'articles par media, rtl:34780 
19-12-2018 03:15:59, Nombre d'articles par media, sudinfo:8412 
19-12-2018 03:15:59, Nombre d'articles total, 183113 
19-12-2018 05:14:47, RssToDb, Nombres de nouveux articles:36 
19-12-2018 05:14:52, Medpol, none 
19-12-2018 05:14:52, time, 15.07 
19-12-2018 05:15:42, Nombre d'articles par media, dh:37357 
19-12-2018 05:15:42, Nombre d'articles par media, lalibre:52086 
19-12-2018 05:15:42, Nombre d'articles par media, lecho:5789 
19-12-2018 05:15:42, Nombre d'articles par media, lesoir:21201 
19-12-2018 05:15:42, Nombre d'articles par media, levif:7719 
19-12-2018 05:15:42, Nombre d'articles par media, rtbf:15792 
19-12-2018 05:15:42, Nombre d'articles par media, rtl:34790 
19-12-2018 05:15:42, Nombre d'articles par media, sudinfo:8415 
19-12-2018 05:15:42, Nombre d'articles total, 183149 
19-12-2018 07:17:33, RssToDb, Nombres de nouveux articles:124 
19-12-2018 07:17:48, Medpol, Philippe Bontemps | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel |  
19-12-2018 07:17:48, time, 13.74 
19-12-2018 07:18:41, Nombre d'articles par media, dh:37376 
19-12-2018 07:18:41, Nombre d'articles par media, lalibre:52114 
19-12-2018 07:18:41, Nombre d'articles par media, lecho:5794 
19-12-2018 07:18:41, Nombre d'articles par media, lesoir:21210 
19-12-2018 07:18:41, Nombre d'articles par media, levif:7727 
19-12-2018 07:18:41, Nombre d'articles par media, rtbf:15804 
19-12-2018 07:18:41, Nombre d'articles par media, rtl:34821 
19-12-2018 07:18:41, Nombre d'articles par media, sudinfo:8427 
19-12-2018 07:18:41, Nombre d'articles total, 183273 
19-12-2018 09:20:11, RssToDb, Nombres de nouveux articles:158 
19-12-2018 09:20:23, Medpol, Yves Leterme | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Bart De Wever | Bart De Wever | Bart De Wever |  
19-12-2018 09:20:23, time, 13.36 
19-12-2018 09:21:13, Nombre d'articles par media, dh:37402 
19-12-2018 09:21:13, Nombre d'articles par media, lalibre:52133 
19-12-2018 09:21:13, Nombre d'articles par media, lecho:5798 
19-12-2018 09:21:13, Nombre d'articles par media, lesoir:21227 
19-12-2018 09:21:13, Nombre d'articles par media, levif:7734 
19-12-2018 09:21:13, Nombre d'articles par media, rtbf:15823 
19-12-2018 09:21:13, Nombre d'articles par media, rtl:34873 
19-12-2018 09:21:13, Nombre d'articles par media, sudinfo:8441 
19-12-2018 09:21:13, Nombre d'articles total, 183431 
19-12-2018 11:22:51, RssToDb, Nombres de nouveux articles:170 
19-12-2018 11:22:58, Medpol, Alexander De Croo | Alexander De Croo | Alexander De Croo | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Marie-Christine Marghem | Marie-Christine Marghem | Marie-Christine Marghem | Frédérique Ries | Frédérique Ries | Geert Bourgeois | Geert Bourgeois | Geert Bourgeois |  
19-12-2018 11:22:58, time, 13.42 
19-12-2018 11:23:50, Nombre d'articles par media, dh:37427 
19-12-2018 11:23:50, Nombre d'articles par media, lalibre:52171 
19-12-2018 11:23:50, Nombre d'articles par media, lecho:5808 
19-12-2018 11:23:50, Nombre d'articles par media, lesoir:21246 
19-12-2018 11:23:50, Nombre d'articles par media, levif:7744 
19-12-2018 11:23:50, Nombre d'articles par media, rtbf:15840 
19-12-2018 11:23:50, Nombre d'articles par media, rtl:34913 
19-12-2018 11:23:50, Nombre d'articles par media, sudinfo:8452 
19-12-2018 11:23:50, Nombre d'articles total, 183601 
19-12-2018 13:25:36, RssToDb, Nombres de nouveux articles:167 
19-12-2018 13:25:48, Medpol, Yves Leterme | Yves Leterme | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Bart De Wever | Francis Delpérée | Francis Delpérée |  
19-12-2018 13:25:48, time, 13.63 
19-12-2018 13:26:37, Nombre d'articles par media, dh:37454 
19-12-2018 13:26:37, Nombre d'articles par media, lalibre:52201 
19-12-2018 13:26:37, Nombre d'articles par media, lecho:5812 
19-12-2018 13:26:37, Nombre d'articles par media, lesoir:21263 
19-12-2018 13:26:37, Nombre d'articles par media, levif:7748 
19-12-2018 13:26:37, Nombre d'articles par media, rtbf:15853 
19-12-2018 13:26:37, Nombre d'articles par media, rtl:34972 
19-12-2018 13:26:37, Nombre d'articles par media, sudinfo:8465 
19-12-2018 13:26:37, Nombre d'articles total, 183768 
19-12-2018 15:28:33, RssToDb, Nombres de nouveux articles:171 
19-12-2018 15:28:43, Medpol, Jean-Luc Crucke | Jean-Luc Crucke | Jean-Luc Crucke | Jean-Luc Crucke | Yves Leterme | Yves Leterme | Yves Leterme | Philippe Close | Philippe Close | Philippe Close | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Frédérique Ries | Frédérique Ries | Saïd Tahri | Geert Bourgeois |  
19-12-2018 15:28:43, time, 13.75 
19-12-2018 15:29:34, Nombre d'articles par media, dh:37486 
19-12-2018 15:29:34, Nombre d'articles par media, lalibre:52248 
19-12-2018 15:29:34, Nombre d'articles par media, lecho:5814 
19-12-2018 15:29:34, Nombre d'articles par media, lesoir:21281 
19-12-2018 15:29:34, Nombre d'articles par media, levif:7758 
19-12-2018 15:29:34, Nombre d'articles par media, rtbf:15867 
19-12-2018 15:29:34, Nombre d'articles par media, rtl:35008 
19-12-2018 15:29:34, Nombre d'articles par media, sudinfo:8477 
19-12-2018 15:29:34, Nombre d'articles total, 183939 
19-12-2018 17:31:23, RssToDb, Nombres de nouveux articles:156 
19-12-2018 17:31:32, Medpol, Alexis Housiaux | Jean-Luc Crucke | Charles Michel | Charles Michel | Charles Michel | Bart De Wever | Bart De Wever | Bart De Wever | Bart Tommelein | Geert Bourgeois |  
19-12-2018 17:31:32, time, 13.63 
19-12-2018 17:32:24, Nombre d'articles par media, dh:37518 
19-12-2018 17:32:24, Nombre d'articles par media, lalibre:52274 
19-12-2018 17:32:24, Nombre d'articles par media, lecho:5825 
19-12-2018 17:32:24, Nombre d'articles par media, lesoir:21301 
19-12-2018 17:32:24, Nombre d'articles par media, levif:7764 
19-12-2018 17:32:24, Nombre d'articles par media, rtbf:15884 
19-12-2018 17:32:24, Nombre d'articles par media, rtl:35042 
19-12-2018 17:32:24, Nombre d'articles par media, sudinfo:8487 
19-12-2018 17:32:24, Nombre d'articles total, 184095 
19-12-2018 19:34:07, RssToDb, Nombres de nouveux articles:131 
19-12-2018 19:34:15, Medpol, Pierre-Yves Jeholet | Charles Michel | Bart De Wever | Karine Lalieux | Karine Lalieux | Karine Lalieux | Karine Lalieux |  
19-12-2018 19:34:16, time, 13.52 
19-12-2018 19:35:06, Nombre d'articles par media, dh:37542 
19-12-2018 19:35:06, Nombre d'articles par media, lalibre:52299 
19-12-2018 19:35:06, Nombre d'articles par media, lecho:5826 
19-12-2018 19:35:06, Nombre d'articles par media, lesoir:21321 
19-12-2018 19:35:06, Nombre d'articles par media, levif:7769 
19-12-2018 19:35:06, Nombre d'articles par media, rtbf:15888 
19-12-2018 19:35:06, Nombre d'articles par media, rtl:35082 
19-12-2018 19:35:06, Nombre d'articles par media, sudinfo:8499 
19-12-2018 19:35:06, Nombre d'articles total, 184226 
19-12-2018 21:36:36, RssToDb, Nombres de nouveux articles:117 
19-12-2018 21:36:44, Medpol, Charles Michel | Charles Michel |  
19-12-2018 21:36:44, time, 13.28 
19-12-2018 21:37:34, Nombre d'articles par media, dh:37550 
19-12-2018 21:37:34, Nombre d'articles par media, lalibre:52327 
19-12-2018 21:37:34, Nombre d'articles par media, lecho:5828 
19-12-2018 21:37:34, Nombre d'articles par media, lesoir:21342 
19-12-2018 21:37:34, Nombre d'articles par media, levif:7772 
19-12-2018 21:37:34, Nombre d'articles par media, rtbf:15903 
19-12-2018 21:37:34, Nombre d'articles par media, rtl:35113 
19-12-2018 21:37:34, Nombre d'articles par media, sudinfo:8508 
19-12-2018 21:37:34, Nombre d'articles total, 184343 
19-12-2018 23:39:03, RssToDb, Nombres de nouveux articles:97 
19-12-2018 23:39:11, Medpol, Geert Bourgeois | Geert Bourgeois |  
19-12-2018 23:39:11, time, 13.28 
19-12-2018 23:40:01, Nombre d'articles par media, dh:37556 
19-12-2018 23:40:01, Nombre d'articles par media, lalibre:52359 
19-12-2018 23:40:01, Nombre d'articles par media, lecho:5828 
19-12-2018 23:40:01, Nombre d'articles par media, lesoir:21350 
19-12-2018 23:40:01, Nombre d'articles par media, levif:7772 
19-12-2018 23:40:01, Nombre d'articles par media, rtbf:15906 
19-12-2018 23:40:01, Nombre d'articles par media, rtl:35159 
19-12-2018 23:40:01, Nombre d'articles par media, sudinfo:8510 
19-12-2018 23:40:01, Nombre d'articles total, 184440 
20-12-2018 01:41:44, RssToDb, Nombres de nouveux articles:30 
20-12-2018 01:41:52, Medpol, none 
20-12-2018 01:41:52, time, 13.51 
20-12-2018 01:42:46, Nombre d'articles par media, dh:37556 
20-12-2018 01:42:46, Nombre d'articles par media, lalibre:52367 
20-12-2018 01:42:46, Nombre d'articles par media, lecho:5832 
20-12-2018 01:42:46, Nombre d'articles par media, lesoir:21350 
20-12-2018 01:42:46, Nombre d'articles par media, levif:7772 
20-12-2018 01:42:46, Nombre d'articles par media, rtbf:15907 
20-12-2018 01:42:46, Nombre d'articles par media, rtl:35176 
20-12-2018 01:42:46, Nombre d'articles par media, sudinfo:8510 
20-12-2018 01:42:46, Nombre d'articles total, 184470 
20-12-2018 03:44:09, RssToDb, Nombres de nouveux articles:19 
20-12-2018 03:44:18, Medpol, none 
20-12-2018 03:44:18, time, 13.19 
20-12-2018 03:45:08, Nombre d'articles par media, dh:37559 
20-12-2018 03:45:08, Nombre d'articles par media, lalibre:52371 
20-12-2018 03:45:08, Nombre d'articles par media, lecho:5833 
20-12-2018 03:45:08, Nombre d'articles par media, lesoir:21351 
20-12-2018 03:45:08, Nombre d'articles par media, levif:7772 
20-12-2018 03:45:08, Nombre d'articles par media, rtbf:15907 
20-12-2018 03:45:08, Nombre d'articles par media, rtl:35186 
20-12-2018 03:45:08, Nombre d'articles par media, sudinfo:8510 
20-12-2018 03:45:08, Nombre d'articles total, 184489 
20-12-2018 05:46:36, RssToDb, Nombres de nouveux articles:41 
20-12-2018 05:46:49, Medpol, Charles Michel | Theo Francken | Bart De Wever |  
20-12-2018 05:46:49, time, 13.35 
20-12-2018 05:47:38, Nombre d'articles par media, dh:37562 
20-12-2018 05:47:38, Nombre d'articles par media, lalibre:52378 
20-12-2018 05:47:38, Nombre d'articles par media, lecho:5834 
20-12-2018 05:47:38, Nombre d'articles par media, lesoir:21360 
20-12-2018 05:47:38, Nombre d'articles par media, levif:7772 
20-12-2018 05:47:38, Nombre d'articles par media, rtbf:15910 
20-12-2018 05:47:38, Nombre d'articles par media, rtl:35197 
20-12-2018 05:47:38, Nombre d'articles par media, sudinfo:8517 
20-12-2018 05:47:38, Nombre d'articles total, 184530 
20-12-2018 07:49:29, RssToDb, Nombres de nouveux articles:153 
20-12-2018 07:49:45, Medpol, Wouter Beke | Elio Di Rupo | Elio Di Rupo | Elio Di Rupo | Alexander De Croo | Alexander De Croo | Alexander De Croo | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Charles Michel | Bart De Wever | Bart De Wever | Bart De Wever | Barbara Pas | Barbara Pas | Olivier Chastel | Thomas Durant | Thomas Durant |  
20-12-2018 07:49:45, time, 13.78 
20-12-2018 07:51:02, Nombre d'articles par media, dh:37585 
20-12-2018 07:51:02, Nombre d'articles par media, lalibre:52404 
20-12-2018 07:51:02, Nombre d'articles par media, lecho:5841 
20-12-2018 07:51:02, Nombre d'articles par media, lesoir:21371 
20-12-2018 07:51:02, Nombre d'articles par media, levif:7785 
20-12-2018 07:51:02, Nombre d'articles par media, rtbf:15925 
20-12-2018 07:51:02, Nombre d'articles par media, rtl:35239 
20-12-2018 07:51:02, Nombre d'articles par media, sudinfo:8533 
20-12-2018 07:51:02, Nombre d'articles total, 184683 
